Price,Type,Màn hình,Hệ điều hành,Camera sau,Camera trước,CPU,RAM,Bộ nhớ trong,Sim,Pin
7.590.000₫,Samsung,"Super AMOLED, 6.5"", Full HD+",Android 10,"Chính 48 MP & Phụ 12 MP, 5 MP, 5 MP",32 MP,Exynos 9611 8 nhân,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","4000 mAh, có sạc nhanh"
7.490.000₫,Samsung,"Super AMOLED, 6.5"", Full HD+",Android 10,"Chính 48 MP & Phụ 12 MP, 5 MP, 5 MP",32 MP,Exynos 9611 8 nhân,6 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","4000 mAh, có sạc nhanh"
7.290.000₫,Realme,"IPS LCD, 6.6"", Full HD+",Android 10,"Chính 64 MP & Phụ 12 MP, 8 MP, 2 MP",Chính 16 MP & Phụ 8 MP,Snapdragon 720G 8 nhân,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","4300 mAh, có sạc nhanh"
7.490.000₫,OnePlus,"IPS LCD, 6.49"", Full HD+",Android 10,"Chính 64 MP & Phụ 8 MP, 2 MP, 2 MP",16 MP,Snapdragon 690 8 nhân,6 GB,128 GB,"2 Nano SIM, Hỗ trợ 5G","4300 mAh, có sạc nhanh"
6.990.000₫,Vivo,"Super AMOLED, 6.44"", Full HD+",Android 10,"Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP",32 MP,Snapdragon 675 8 nhân,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","4500 mAh, có sạc nhanh"
5.990.000₫,Vsmart,"AMOLED, 6.39"", Full HD+",Android 10,"Chính 64 MP & Phụ 8 MP, 8 MP, 2 MP",20 MP,Snapdragon 730 8 nhân,6 GB,64 GB,"2 Nano SIM, Hỗ trợ 4G","4000 mAh, có sạc nhanh"
7.490.000₫,OPPO,"AMOLED, 6.43"", Full HD+",Android 10,"Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP",Chính 16 MP & Phụ 2 MP,MediaTek Helio P95 8 nhân,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","4000 mAh, có sạc nhanh"
7.190.000₫,Vsmart,"AMOLED, 6.39"", Full HD+",Android 10,"Chính 64 MP & Phụ 8 MP, 8 MP, 2 MP",20 MP,Snapdragon 730 8 nhân,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","4000 mAh, có sạc nhanh"
6.790.000₫,Vivo,"AMOLED, 6.44"", Full HD+",Android 10,"Chính 48 MP & Phụ 8 MP, 2 MP",32 MP,Snapdragon 665 8 nhân,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","4100 mAh, có sạc nhanh"
5.490.000₫,Samsung,"Super AMOLED, 6.4"", Full HD+",Android 9 (Pie),"Chính 48 MP & Phụ 8 MP, 5 MP",32 MP,Exynos 9610 8 nhân,4 GB,64 GB,"2 Nano SIM, Hỗ trợ 4G","4000 mAh, có sạc nhanh"
6.990.000₫,Huawei,"LTPS LCD, 6.4"", Full HD+",EMUI 10 (Android 10 không có Google),"Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP",16 MP,Kirin 810 8 nhân,8 GB,128 GB,"2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G","4200 mAh, có sạc nhanh"
6.690.000₫,Xiaomi,"IPS LCD, 6.67"", Full HD+",Android 10,"Chính 64 MP & Phụ 8 MP, 5 MP, 2 MP",16 MP,Snapdragon 720G 8 nhân,6 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5020 mAh, có sạc nhanh"
6.990.000₫,OPPO,"AMOLED, 6.4"", Full HD+",Android 10,"Chính 48 MP & Phụ 13 MP, 8 MP, 2 MP",44 MP,MediaTek Helio P90 8 nhân,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","4025 mAh, có sạc nhanh"
6.690.000₫,Xiaomi,"IPS LCD, 6.67"", Full HD+",Android 10,"Chính 64 MP & Phụ 13 MP, 2 MP, 2 MP",20 MP,Snapdragon 732G 8 nhân,6 GB,128 GB,"2 Nano SIM (SIM 1 chung khe thẻ nhớ), Hỗ trợ 4G","5160 mAh, có sạc nhanh"
6.690.000₫,Realme,"IPS LCD, 6.5"", Full HD+",Android 10,"Chính 64 MP & Phụ 8 MP, 2 MP, 2 MP",16 MP,MediaTek Helio G95 8 nhân,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, có sạc nhanh"
6.190.000₫,Xiaomi,"IPS LCD, 6.67"", Full HD+",Android 10,"Chính 64 MP & Phụ 8 MP, 5 MP, 2 MP",16 MP,Snapdragon 720G 8 nhân,6 GB,64 GB,"2 Nano SIM, Hỗ trợ 4G","5020 mAh, có sạc nhanh"
5.990.000₫,Samsung,"Super AMOLED, 6.4"", Full HD+",Android 10,"Chính 48 MP & Phụ 8 MP, 5 MP, 5 MP",20 MP,MediaTek MT6768 8 nhân (Helio P65),6 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, có sạc nhanh"
5.990.000₫,Realme,"IPS LCD, 6.5"", HD+",Android 10,"Chính 64 MP & Phụ 8 MP, 2 MP, 2 MP",16 MP,Snapdragon 662 8 nhân,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, có sạc nhanh"
5.590.000₫,Vivo,"IPS LCD, 6.53"", Full HD+",Android 10,"Chính 13 MP & Phụ 8 MP, 2 MP, 2 MP",16 MP,Snapdragon 665 8 nhân,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G",5000 mAh
4.690.000₫,Xiaomi,"IPS LCD, 6.53"", Full HD+",Android 9 (Pie),"Chính 64 MP & Phụ 8 MP, 2 MP, 2 MP",20 MP,MediaTek Helio G90T 8 nhân,6 GB,128 GB,"2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G","4500 mAh, có sạc nhanh"
5.490.000₫,Realme,"IPS LCD, 6.5"", Full HD+",Android 10,"Chính 64 MP & Phụ 8 MP, 2 MP, 2 MP",16 MP,MediaTek Helio G90T 8 nhân,4 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","4300 mAh, có sạc nhanh"
